_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-02-22 05:00:00+00:00,91.934,92.36,90.87,91.8,33792297.0,234710.0,91.854984
GOOG,2023-02-23 05:00:00+00:00,92.13,92.13,90.01,91.07,34817565.0,281896.0,90.928059
GOOG,2023-02-24 05:00:00+00:00,89.63,90.13,88.86,89.35,34618758.0,273062.0,89.331822
GOOG,2023-02-27 05:00:00+00:00,90.09,90.4499,89.61,90.1,24981300.0,206623.0,90.046548
GOOG,2023-02-28 05:00:00+00:00,89.54,91.45,89.52,90.3,34967731.0,225071.0,90.508847
GOOG,2023-03-01 05:00:00+00:00,90.16,91.2,89.85,90.51,28728364.0,214929.0,90.491392
GOOG,2023-03-02 05:00:00+00:00,89.86,92.48,89.77,92.31,25784100.0,204829.0,91.361124
GOOG,2023-03-03 05:00:00+00:00,92.74,94.11,92.66,94.02,33359272.0,234883.0,93.692818
GOOG,2023-03-06 05:00:00+00:00,94.36,96.3,94.3,95.58,31448152.0,246873.0,95.581256
GOOG,2023-03-07 05:00:00+00:00,95.42,96.09,93.8443,94.17,26335255.0,220897.0,94.647069
GOOG,2023-03-08 05:00:00+00:00,94.405,96.24,94.405,94.65,27802511.0,240984.0,95.135511
GOOG,2023-03-09 05:00:00+00:00,94.49,95.92,92.355,92.66,27140249.0,245748.0,93.929003
GOOG,2023-03-10 05:00:00+00:00,92.5,93.18,90.8,91.01,35801850.0,349515.0,91.757602
GOOG,2023-03-13 04:00:00+00:00,90.565,93.08,89.94,91.66,34047727.0,335601.0,91.99986
GOOG,2023-03-14 04:00:00+00:00,93.07,94.83,92.78,94.25,36165038.0,284887.0,93.987528
GOOG,2023-03-15 04:00:00+00:00,93.54,97.25,93.04,96.55,42581872.0,350352.0,95.590966
GOOG,2023-03-16 04:00:00+00:00,96.57,101.97,95.87,101.07,58537746.0,502777.0,100.318741
GOOG,2023-03-17 04:00:00+00:00,100.84,103.49,100.75,102.46,99527000.0,436640.0,102.215684
GOOG,2023-03-20 04:00:00+00:00,101.06,102.58,100.79,101.93,28763214.0,266088.0,101.865674
GOOG,2023-03-21 04:00:00+00:00,101.98,105.96,101.86,105.84,36919461.0,283013.0,104.794686
GOOG,2023-03-22 04:00:00+00:00,105.14,107.51,104.21,104.22,35541862.0,327212.0,105.559401
GOOG,2023-03-23 04:00:00+00:00,105.89,107.1009,105.41,106.26,31710158.0,301276.0,106.378724
GOOG,2023-03-24 04:00:00+00:00,105.74,106.16,104.74,106.06,27921804.0,249781.0,105.74482
GOOG,2023-03-27 04:00:00+00:00,105.32,105.4,102.63,103.06,27944201.0,240896.0,103.687626
GOOG,2023-03-28 04:00:00+00:00,103.0,103.0,100.28,101.36,26684268.0,240741.0,101.151855
GOOG,2023-03-29 04:00:00+00:00,102.72,102.82,101.03,101.9,28797083.0,248862.0,101.85427
GOOG,2023-03-30 04:00:00+00:00,101.44,101.61,100.29,101.32,28426136.0,222583.0,101.121143
GOOG,2023-03-31 04:00:00+00:00,101.71,104.19,101.44,104.0,27823099.0,238099.0,103.24233
GOOG,2023-04-03 04:00:00+00:00,102.67,104.95,102.38,104.91,23921644.0,190014.0,104.003557
GOOG,2023-04-04 04:00:00+00:00,104.84,106.1,104.6,105.12,22494075.0,204868.0,105.221326
GOOG,2023-04-05 04:00:00+00:00,106.12,106.54,104.1021,104.95,24238247.0,213289.0,104.920198
